from_stop_I;to_stop_I;dep_time_ut;arr_time_ut;route_type;trip_I;seq;route_I
6;50;1481529300;1481529360;3;2;1;7
50;7;1481529360;1481529420;3;2;2;7
7;74;1481529420;1481529420;3;2;3;7
74;76;1481529420;1481529480;3;2;4;7
76;78;1481529480;1481529540;3;2;5;7
78;82;1481529540;1481529600;3;2;6;7
82;84;1481529600;1481529600;3;2;7;7
84;86;1481529600;1481529660;3;2;8;7
86;211;1481529660;1481529720;3;2;9;7
211;213;1481529720;1481529720;3;2;10;7
213;185;1481529720;1481529840;3;2;11;7
185;215;1481529840;1481529900;3;2;12;7
215;400;1481529900;1481529900;3;2;13;7
400;217;1481529900;1481529960;3;2;14;7
217;219;1481529960;1481530020;3;2;15;7
219;221;1481530020;1481530020;3;2;16;7
221;223;1481530020;1481530080;3;2;17;7
223;225;1481530080;1481530140;3;2;18;7
225;227;1481530140;1481530260;3;2;19;7
227;230;1481530260;1481530260;3;2;20;7
230;231;1481530260;1481530320;3;2;21;7
231;233;1481530320;1481530440;3;2;22;7
6;50;1481615700;1481615760;3;2;1;7
50;7;1481615760;1481615820;3;2;2;7
7;74;1481615820;1481615820;3;2;3;7
74;76;1481615820;1481615880;3;2;4;7
76;78;1481615880;1481615940;3;2;5;7
78;82;1481615940;1481616000;3;2;6;7
82;84;1481616000;1481616000;3;2;7;7
84;86;1481616000;1481616060;3;2;8;7
86;211;1481616060;1481616120;3;2;9;7
211;213;1481616120;1481616120;3;2;10;7
213;185;1481616120;1481616240;3;2;11;7
185;215;1481616240;1481616300;3;2;12;7
215;400;1481616300;1481616300;3;2;13;7
400;217;1481616300;1481616360;3;2;14;7
217;219;1481616360;1481616420;3;2;15;7
219;221;1481616420;1481616420;3;2;16;7
221;223;1481616420;1481616480;3;2;17;7
223;225;1481616480;1481616540;3;2;18;7
225;227;1481616540;1481616660;3;2;19;7
227;230;1481616660;1481616660;3;2;20;7
230;231;1481616660;1481616720;3;2;21;7
231;233;1481616720;1481616840;3;2;22;7
6;50;1481702100;1481702160;3;2;1;7
50;7;1481702160;1481702220;3;2;2;7
7;74;1481702220;1481702220;3;2;3;7
74;76;1481702220;1481702280;3;2;4;7
76;78;1481702280;1481702340;3;2;5;7
78;82;1481702340;1481702400;3;2;6;7
82;84;1481702400;1481702400;3;2;7;7
84;86;1481702400;1481702460;3;2;8;7
86;211;1481702460;1481702520;3;2;9;7
211;213;1481702520;1481702520;3;2;10;7
213;185;1481702520;1481702640;3;2;11;7
185;215;1481702640;1481702700;3;2;12;7
215;400;1481702700;1481702700;3;2;13;7
400;217;1481702700;1481702760;3;2;14;7
217;219;1481702760;1481702820;3;2;15;7
219;221;1481702820;1481702820;3;2;16;7
221;223;1481702820;1481702880;3;2;17;7
223;225;1481702880;1481702940;3;2;18;7
225;227;1481702940;1481703060;3;2;19;7
227;230;1481703060;1481703060;3;2;20;7
230;231;1481703060;1481703120;3;2;21;7
231;233;1481703120;1481703240;3;2;22;7
6;50;1481788500;1481788560;3;2;1;7
50;7;1481788560;1481788620;3;2;2;7
